id;name;mail;phone;owner;active
1;Organization_1;organization1@apnmt.de;123456789;user_1;true
2;Organization_2;organization2@apnmt.de;123456789;user_2;false
3;Organization_3;organization3@apnmt.de;123456789;user_3;true
4;Organization_4;organization4@apnmt.de;123456789;user_4;false
5;Organization_5;organization5@apnmt.de;123456789;user_5;true
6;Organization_6;organization6@apnmt.de;123456789;user_6;false
7;Organization_7;organization7@apnmt.de;123456789;user_7;false
8;Organization_8;organization8@apnmt.de;123456789;user_8;true
9;Organization_9;organization9@apnmt.de;123456789;user_9;false
10;Organization_10;organization10@apnmt.de;123456789;user_10;true
11;Organization_11;organization11@apnmt.de;123456789;user_11;true
12;Organization_12;organization12@apnmt.de;123456789;user_12;false
13;Organization_13;organization13@apnmt.de;123456789;user_13;true
14;Organization_14;organization14@apnmt.de;123456789;user_14;false
15;Organization_15;organization15@apnmt.de;123456789;user_15;true
16;Organization_16;organization16@apnmt.de;123456789;user_16;false
17;Organization_17;organization17@apnmt.de;123456789;user_17;true
18;Organization_18;organization18@apnmt.de;123456789;user_18;false
19;Organization_19;organization19@apnmt.de;123456789;user_19;true
20;Organization_20;organization20@apnmt.de;123456789;user_20;true
